text,label
ternyata abang masih inget dirikyuu jadi pengen malu akyuu,2
"ngga, aku biasa sendiri nder",4
"di satu sisi, kalopun emang proses kemaren gue gagal, gue gapapa banget minum obat lagi. yang penting kelar. please banget. gue udah benci banget di situasi di mana gue cuman keep rasa sakit sendiri dan gue susah kemana mana. benci banget.",0
kaget bener suka tetiba logout tapi ga limit,1
takut ditinggal ayang..,1
have u ever. malem2 nonton film ga sedih. tp sedih ngeliat idup lo,5
gk bisa komen sih takut salah kata cuman ya.. agak gimana juga ya..,1
rindu ama doi :),3
gue suka banget baking wkwk,3
inuyasha soalnya suka banget romantis ya,3
"benci juga karakternya cheol. kek itu uda keliatan han sakit hati, knp harus ditegesin dlu baru peka??!! ga mempermasalahkan his feeling towards nu, tp the way he treated han that i hate the most. dipermainin bgt haha, jerk.",0
asik ..permainan emosi dimulai ..yg bermain dan terlibat ngeri-ngeri sedap..siap2 nyiapin pukulan tangkisan..indikasi sih positif 100% melawan hukum cuma upaya mencari keringanan aja ..tamatlah sudah karier2 yg didapat dgn cara gag berkah..,1
"chaki, ni buatmu. aku bete banget dah kemarinan waktu kamu ngebet mau jodohin aku sama kak heeseung kaget puool taunya pernah jadi temen satu oa-ku. kelakuanmu beda maksimal (real)",1
sini bestie hi kak! lagi cari app prem? pengen cepet juga? ada nih! lengkap + fast respon + testi on pinned yaa yuk langsung dm! t jual netflix murah spotify wetv kaget nikah all of us are dead,4
"jika kau tertawa kau akan bahagia, walau disaat sedih apapun",4
santai aja bg. aku nanya karna emg gatau. di caption fungsi nya utk mengurangi kelelahan. aku baru tau. cara kerja nya yang gatau. santai ya bg. jgn gampang goblok goblokin orang goblok,0
aku takut,1
"tp di kls 11 tuh pling ga suka sm bahasa gw alkwlwl, kek kasar banget beda sm dulu2, ngomong anjrt aja lngsng istighfar",3
hahaha betul sekali aku aja susah kalo udah gak suka sama orang benci nya sampai lama banget,0
iya suka banget,3
enak asal jgn diaduk,4
kami takut pada yang tidak berwujud,1
bubur kuah kuning ternyata enak banget ya,2
"non txt sedih bgt denise ga lanjut di sn :( padahal nungguin bgt dan jujur aja member yg baru kurang sreg gitu di gue tapi ga hate deh tetep dukung, semangat denise dan secret number &lt;3",5
santai din,4
yanng begini biasa laki mokondo,4
janji dapat dedak bodoh pun bodoh la..,0
pernah ga si kalian nyakitin diri sendiri biar ga marah hehe,5
semangat.,2
takut gak siih,1
"harga sesuai pasaran kak, takut merusak harga pasar wkwk",4
iye elu yang disana. kok lu ganteng banget sih? maaf gabisa ngomong langsung :( sedih deh,5
"huhuu makasih ya min udah buat ga ini aku suka keduanya , pertama tama qiao tuh baik banget sama orang-orang, padahal orang itu baru dia kenal dan qiao juga ga segan segan-segan buat nolong mereka, lao yan juga gemes bgt kalo lagi deketin qiao, aku suka bgt keduanya",3
"mootss, temen aku lagi suka sama orangg. kasih tau cara atau tips dong, biar orang itu suka balik sama diaa. makasihh~~",3
inii!! ini totebagnya hand painted dan dijahit sama anak-anak luar biasa loh!! mungkin temen-temen yg mau beli totebag sekalian dukung anak-anak disabilitas bisa cek di ignya yaa!,4
bisa-bisanya mark gak calling gue /marah,0
"yhh marah  mulu lo, cepet tua mampus",0
apapun selain romance. :) tapi kalau horror jangan yang hantu. mun takut sama hantu.,1
"kompor induksi ga cocok untuk masakan asia terutama masakan indonesia contohnya mau bikin nasi goreng ga bakal enak pake kompor induksi. nasi goreng butuh panas yang membara, sedangkan kompor induksi persebaran panas nya aja lama bgt.",4
jd sedih aq,5
20. (orang yang mendapat malu di suatu pertemuan) i vote for at the 2022,4
"bangsat orang yg suka minjem duit pas ditagih"" malah lari gausa dikasi ampun",0
"soalnya tiap ketemu yg ngaku suka banget sama muse, kalo ditanya: ""oh suka muse, suka lagu muse apa?"" ""supermassive dan starlight mas"" pergi! jauh2 kamu!",0
"aku gasuka valentine, aku juga gabisa gombal, tapi kalo kalian suka.. mending gausah deh. soalnya setiap hari kan udah hari kasih sayang, ngapain gombal kalo emng kalian udah teristimewa kaya coklat di hari valentine",4
sedang bodoh saja.,4
"eh plis ini lucu banget sedikit termotivasi deh sama cewenya, aku juga anaknya hampir sama, suka banget ambisius sampe lupa waktu",3
