text,label
terima kementerian bumn pak mentri bumn erick thohir ya dukung gerakan energi tani et untuk produk tani mandiri semangat terus pak,4
cintaaaa banget warna pastel begini makasiih,3
budayakan mengeluh jangan semangat,5
kadang gue sedih kenapa jadi orang yang kalau ada apa diampet dewe kan jadi mumet dewe,5
enak banget bangsat bisa bisa nya di bilang flop,0
polos banget kamu v ada yang hate kamu malah kamu anggap bercanda benar enggak menyangka masih saja ada yang enggak suka sama orang baik seperti ini,0
apa itu semangat,4
gue enggak sok pintar sih mungkin lu saja yang terlalu bodoh sampai melihat gue kayak begitu,4
sedih tadi malam mimpinya jeleek kali sampai aku kebangun tengah malam menangis deress terus aku tahajud baca doa blabla terus mimpi jelek lagi sampai dalam mimpi itu aku capeek kali baca ayat kursi qul tapi setannya enggak pigi anjir,5
mengeluh bukan berarti menyerah kok semangat,2
banyak hal yang ingin ku ceritakan tapi aku tersadar kita tidak sedekat itu bertemu saja hanya kebetulan dan berbincang saja enggan kau lakukan sekali lagi ku ingatkan pada diri ini he just your friend not more,4
harap demam biasa takut copid,1
waa enak tuh semoga libur mu bahagia ya,2
bingung cari souvenir untuk acara kantor anda pakai saja tas ransel batik dari kami only rp pcshemat murah bernilai dan indonesiacall me,4
ketahuan deh biasa searching di search barnya,4
kak semoga semuanya baikbaik saja ya jangan lupa makan yang enak dan mendengarkan musik yang bikin tenang supaya keadaannya sedikit membaik semangat,2
nih geng lgbt patutle libtard gay bodoh tahi,0
sayang dia pakai banget,3
gue menangis banget dah ah malu senang kaget jadi satu amat,1
is astaga pengin beneh mencok aaaaa sesantap is asinan enak jua gaknya sabar len masih belum buka puasa masih lama,2
kamu semisal tak antem batu begitu marah enggak,4
semangat loyonya,4
suka rebahan tapi pengin dapat cuan tambahan bisa banget sob yuk gabung di sobat indihome sekarang juga dan dapatkan uang hingga ratusan ribu rupiah dengan modal hanya smartphone kamu dimanapun dan kapanpun,4
